PrtIdx LigIdx v1 v2 v3 v4 v5 v6 cms ener
0 0 1.744843 1.734656 1.246191 8.548171 8.520920 7.751039 0.185688 2.779447
0 0 1.749133 1.744531 1.235956 8.507838 8.556781 7.734762 0.184933 2.778018
0 0 1.748641 1.736046 1.254015 8.480350 8.561963 7.683211 0.173603 2.783355
0 0 1.749907 1.729987 1.240203 8.450302 8.564798 7.656068 0.175036 2.781389
0 0 1.757350 1.743441 1.234461 8.501905 8.498317 7.679438 0.161612 2.784435
0 0 1.742412 1.739241 1.239174 8.510848 8.458552 7.624609 0.151571 2.787964
0 0 1.729029 1.752554 1.232922 8.437031 8.486933 7.677468 0.168830 2.779372
0 0 1.720869 1.733023 1.220915 8.454786 8.561509 7.694459 0.181281 2.762399
0 0 1.727888 1.739850 1.204654 8.420943 8.523547 7.654813 0.170832 2.767254
0 0 1.724808 1.726187 1.207966 8.395547 8.512529 7.646811 0.168830 2.768025
0 0 1.724603 1.741063 1.201905 8.414437 8.522285 7.639044 0.170832 2.766317
0 0 1.715621 1.740652 1.201414 8.397025 8.467657 7.681397 0.180574 2.775534
0 0 1.701160 1.754186 1.208915 8.440082 8.541967 7.649566 0.171513 2.759020
0 0 1.696426 1.734451 1.197683 8.446898 8.609507 7.709867 0.203528 2.745169
0 0 1.682630 1.747192 1.178217 8.435634 8.571289 7.708710 0.201963 2.741595
0 0 1.667658 1.755658 1.176872 8.473948 8.632030 7.648819 0.172203 2.737465
0 0 1.651056 1.748387 1.165413 8.490833 8.641387 7.663672 0.173603 2.724633
0 0 1.657105 1.734102 1.158469 8.436647 8.699197 7.737339 0.213007 2.719889
0 0 1.645435 1.715264 1.166221 8.472001 8.649633 7.732019 0.214651 2.708087
0 0 1.659451 1.708572 1.161578 8.524180 8.667396 7.771995 0.227536 2.709509
0 0 1.639914 1.705659 1.168184 8.560719 8.712935 7.840156 0.250923 2.703615
0 0 1.636348 1.696648 1.169724 8.500289 8.781331 7.856093 0.264271 2.695962
0 0 1.636711 1.692446 1.172035 8.467201 8.848986 7.840026 0.255262 2.698605
0 0 1.630215 1.704865 1.182676 8.546103 8.795671 7.887863 0.274487 2.699725
0 0 1.618090 1.717214 1.181423 8.565082 8.751923 7.880009 0.264241 2.696996
0 0 1.612351 1.717192 1.182241 8.498248 8.690905 7.810426 0.246139 2.698159
0 0 1.597710 1.720701 1.173768 8.520428 8.747916 7.752662 0.225775 2.689532
0 0 1.589346 1.735769 1.157067 8.451564 8.787267 7.740079 0.233329 2.689194
0 0 1.589193 1.729939 1.141985 8.396315 8.719858 7.701345 0.198929 2.693757
0 0 1.573353 1.719678 1.146944 8.374351 8.728185 7.748003 0.221532 2.693531
0 0 1.573011 1.726431 1.138915 8.439606 8.744268 7.817734 0.239852 2.683840
0 0 1.566843 1.744686 1.157423 8.498281 8.783813 7.771109 0.235095 2.678117
0 0 1.567093 1.735127 1.148894 8.577374 8.781427 7.723969 0.206762 2.688601
0 0 1.586128 1.720189 1.166794 8.614662 8.760042 7.781532 0.206762 2.695683
0 0 1.580430 1.723660 1.157401 8.555713 8.782469 7.761827 0.225775 2.682329
0 0 1.579387 1.716670 1.152516 8.477117 8.837324 7.688118 0.205127 2.690651
0 0 1.567240 1.733221 1.160644 8.439301 8.848682 7.722223 0.221532 2.685416
0 0 1.564637 1.715437 1.163020 8.430816 8.778927 7.732148 0.224051 2.679497
0 0 1.555426 1.721821 1.148948 8.374954 8.747871 7.652616 0.200430 2.687640
0 0 1.545174 1.717525 1.152916 8.354310 8.793323 7.667060 0.209043 2.688159
0 0 1.525272 1.710679 1.137012 8.334254 8.713776 7.680749 0.201192 2.676685
0 0 1.513510 1.704678 1.156205 8.337844 8.692059 7.618054 0.172203 2.677382
0 0 1.501127 1.720010 1.164893 8.408368 8.696222 7.621078 0.172899 2.670322
0 0 1.482384 1.735777 1.182869 8.377821 8.737906 7.623369 0.181281 2.675748
0 0 1.485496 1.725728 1.197566 8.413008 8.708040 7.696768 0.204323 2.666987
0 0 1.482744 1.707579 1.212466 8.432559 8.681560 7.646031 0.173603 2.667417
0 0 1.466962 1.705204 1.202582 8.472116 8.683399 7.598385 0.165698 2.667704
0 0 1.475485 1.710058 1.217121 8.466253 8.658242 7.657064 0.175764 2.663888
0 0 1.484887 1.713235 1.220182 8.428930 8.669980 7.725540 0.214651 2.665285
0 0 1.468301 1.729866 1.224035 8.432785 8.684154 7.733840 0.213007 2.663104
0 0 1.483249 1.741749 1.204180 8.405707 8.729972 7.709917 0.199676 2.672301
0 0 1.465633 1.759922 1.213127 8.468148 8.719571 7.778224 0.244296 2.659751
